,title,brand,model,size,price
236,Smart Tv 4k LG Led 82 Google Alexa Wi-fi - 82un8000psb,LG,82UN8000PSB,82,11548
237,"Cht-d12 1,2 M/4 Pés Sensor Ir Recebimento Remoto Infravermel",Generic,no model,87,150
238,1 Conjunto Kids Gift Tv Decor Mini Modelo De Tv Para Decor D,unbrand,Mini TV Model,1,100
239,1set Kids Gift Tv Decor Para Decoração Home Diy,unbrand,Mini TV Model,1,100
240,Caixa De Armazenamento De Controle Remoto Acrílico Parede Do,Generic,no model,41,306
241,Anycast Novo Sem Fio Wifi Display Dongle Receptor 1080p Hd,Generic,generic,25,283
242,1set Kids Gift Tv Decor Mini Modelo De Tv Para Decoração De,unbrand,Mini TV Model,1,100
243,1set Tv Decor Crianças Presente Mini Tv Modelo Para Diy,unbrand,Mini TV Model,1,99
244,1set Tv Decor Kids Presente Para Home Diy Decor,unbrand,Mini TV Model,1,100
245,1 Conjunto Mini Tv Modelo Tv Decor Para Decor Diy,unbrand,Mini TV Model,1,100
246,1 Conjunto De Tv Decor Crianças Presente Mini Modelo De Tv P,unbrand,Mini TV Model,1,100
247,1set Tv Decor Crianças Presente Para Diy Home Decor,unbrand,Mini TV Model,1,100
248,"Smart TV Philips 6700 Series 70PUG6774/78 LED 4K 70"" 110V/240V",Philips,70PUG6774,70,4950
249,Controle Remoto Universal Tv Controle Sem Fio Smart Controll,Generic,generic,75,149
